Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
0,0,0.3044448454411997,344.3202503793651,238.7505224419164,3476.1563926116073
1,0,0.4373533725534242,345.0267308964022,239.0408019041029,3475.396750565034
2,0,0.07587556488095552,345.3144279336541,239.5952802443866,3476.1224593024776
3,0,-0.2831421955790438,345.6445722033496,239.20332056684336,3476.6298213232676
4,0,-0.8124428540724703,344.91141918811945,239.91680128094544,3477.484645734677
5,0,-0.12560078998929397,345.385984110835,239.29410561754713,3478.0878838242525
6,0,-1.2766338109199489,345.1113449336166,237.6233300691274,3477.642644348084
7,0,0.7862290528641654,345.09556628848276,239.3360680791733,3477.7353978073506
8,0,0.6001365386057079,344.08356222232925,239.0867618250553,3477.837944612461
9,0,-0.19165532687345524,344.8195030852658,238.81003818887172,3477.727102109696
10,0,0.11892771497521964,345.73090952261794,239.31006972050636,3477.6003742939106
11,0,0.06455382674584323,345.68043763370997,238.98905671184644,3478.186045881189
12,0,0.38726243570845503,344.8417289142107,239.18514558664026,3478.407555699523
13,0,0.2549170751437145,344.17425024388035,239.38209241894796,3478.344656052428
14,0,-0.044049844831977186,345.6490436823978,239.53413625096073,3479.82697951689
15,0,0.25590523285280364,344.17265349127797,238.95589952535087,3479.037523419449
16,0,0.048936475970047806,345.77935935234746,238.3361162901963,3479.1991311692877
17,0,0.0646206460670686,345.2571329060703,239.1643880917478,3478.986387095089
18,0,-0.7175295039581836,346.05221862563815,238.77448304138323,3479.739742260484
19,0,-0.10668006236556352,345.06708727784786,240.19593727894087,3479.2622622120293
0,5,19.251703688098655,330.11375037933783,228.9424233755411,3405.278376531191
1,5,20.740372084328428,329.5090637422119,228.7042007366697,3405.57538932584
2,5,19.524015007393498,328.86411753463267,228.12960020492974,3404.7953803938726
3,5,19.616786750580093,329.20991263419927,228.60120161807922,3404.7605324762685
4,5,19.244670530325784,329.41692629014716,227.87931526040114,3405.119849277942
5,5,20.566472400133463,329.931771558188,229.43985710604943,3404.6947335269583
6,5,19.42090359076022,329.62076785815793,228.7662890473986,3406.3297221949842
7,5,19.684764508869534,329.66957220470294,229.3096680046601,3405.196746036658
