Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
0,30,92.90913066976591,269.97229409615784,189.24891855203055,3137.5212441856215
1,60,103.39960515523576,266.17834647100426,184.8418956358149,3125.90404409687
2,60,111.72743207830938,259.6453608578481,182.63493130641803,3117.3762835535103
3,60,118.16906698972669,255.72407289420715,180.91878367061153,3109.479112619091
4,60,124.1700918944183,251.57804398928417,177.3478305677598,3098.8776635145005
5,60,128.96900886460287,248.54449829534195,174.16366389309474,3092.5455803953
6,60,132.10464170002916,245.49453462974773,173.79721251120856,3084.6446495889904
7,60,135.74662335080998,243.71917826391496,171.2326337603927,3076.6460274765
8,60,137.97592659557836,241.68330225547993,169.92454317416917,3070.62334314374
9,60,140.1594341274089,238.9612789800569,168.6387048177832,3062.9579817633166
10,60,141.74572399318907,236.7753907715159,167.693667370284,3058.0002770950346
11,60,144.1733607285867,235.85861471050492,166.85749053965952,3051.70526687661
12,60,143.7968731463006,234.0695172182932,165.2365045985827,3045.0608109504797
13,60,144.5158609169708,232.67341458989054,164.66204738068586,3040.268961432084
14,60,145.2213915637747,231.56114849034483,163.77855883233576,3034.659515012403
15,60,146.95627680150537,231.39253877651083,164.249672788459,3030.127720797046
16,60,145.13785982141897,230.04453330119642,162.37552295317937,3024.380087002237
17,60,147.51225301119362,230.09699262196443,162.24074487813888,3019.9883543713536
18,60,148.6816792777889,229.55287227140556,161.3381786268226,3015.865404468185
19,60,148.10130066542493,228.45794738332347,162.60184795112832,3011.6299824465686
20,60,148.28614800078566,227.9846497737396,161.47999177671784,3008.158640900496
21,60,148.01329018098897,227.63902335470902,161.20526924626304,3004.5207709480637
22,60,148.35836838907377,226.89579705078154,160.43645585585523,3000.2479297081854
23,60,149.01460678204498,226.82579548843665,161.18399292879943,2996.7326455193684
24,60,148.70229632515267,225.81167020117567,159.86243349489837,2994.127987058493
25,60,148.69388341360482,226.2233500290733,159.62320886210472,2991.5057422414848
26,60,148.5195856046132,225.81932397220453,160.3360767015992,2987.8377537777183
27,60,149.10824065630547,225.85572472159367,160.10405737977482,2984.9774109618434
28,60,149.8685326082667,224.94433620031108,160.21418771997548,2982.277395607504
29,60,147.87976927777743,226.16096925610296,159.87157098618002,2980.062824162729
30,60,149.03152442473163,224.98125401286026,160.10061918973176,2976.7415045968705
31,60,150.1870418495282,225.10756573264527,159.42779506332818,2974.916275585583
32,60,150.16909293615635,224.04695517668677,158.96462914430168,2973.614099650351
33,60,149.92029034579286,224.81603369737815,158.59632023684074,2971.322252913868
34,60,149.38250351854015,225.63622517633297,159.30884236852395,2968.7393429592507
35,60,149.18575218316016,224.89460571433858,159.45787346450734,2965.6527422113877
36,60,149.49157433213023,224.19059534558903,159.3266697532877,2964.877667262854
37,60,149.62402668586023,224.01148323432733,160.41451186818844,2963.3397289813443
38,60,149.3948141893907,224.48834513756591,158.99674731101672,2961.439028670782
39,60,149.09440801228007,224.37171428876638,159.101794851732,2960.365920145008
40,60,149.66279899016823,224.79180615718565,159.35768606260896,2957.731078195741
41,60,147.79340208984175,224.76669186414586,158.34784849249698,2956.7531773521364
42,60,149.77465679227882,223.8103547292176,159.24623047254937,2955.9779487833725
43,60,149.47957347540193,224.43507600267347,159.53142180556122,2953.8238975491345
44,60,149.15668831059753,224.71413681867506,159.4775510874032,2952.4710538262084
45,60,149.45155823532355,224.07018847740054,159.51589628904352,2951.8297775285178
46,60,150.70613542157903,223.44538700884289,158.78434711651255,2950.458472015981
47,60,149.15093006602115,224.18411127168645,159.52283366043554,2948.094834346841
48,60,149.2419129434378,225.12368976858386,158.79900838618335,2947.2551959479406
49,60,149.35738891821856,223.90190986436397,158.78989232801652,2947.9177879198887
50,60,149.12982232285316,224.43845649106643,159.2642588347286,2946.953294083632
51,60,149.04389133747145,224.23468339325464,159.0004917096533,2945.1451388333608
52,60,149.09354918131086,223.90978812208925,158.87185084506763,2944.546172318581
53,60,150.60117410375923,224.03317516717374,158.30245187881104,2943.9848762285064
54,60,149.62861025499404,224.0198025240494,159.74799415986953,2943.687137039749
55,60,148.2862289713877,224.96181271292195,158.62782885960857,2942.0278030506543
56,60,148.86597054800805,224.34811676192788,159.1421045389466,2941.1585017735624
57,60,149.46269373939904,224.15308402398747,158.3282455214796,2940.9178451148396
58,60,150.1342512951419,225.0128410198921,159.27430805721292,2940.365400467508
59,60,149.4495257765287,223.91747322011526,159.23368020183713,2939.697853010695
